abbrev_state,xmin,ymin,xmax,ymax
RO,-66.810253111633,-13.6937001241688,-59.7743528516697,-7.96929420061669
AC,-73.9904499689983,-11.1455614675226,-66.6238395939147,-7.11182413031569
AM,-73.8015583247804,-9.8180458760763,-56.0975580377312,2.24663056119678
RR,-64.8252506620746,-1.58063310691207,-58.8868843947234,5.27184107741844
PA,-58.8983283997823,-9.84115347777047,-46.0609467928189,2.59102704641964
AP,-54.8762501802638,-1.23617637395988,-49.8762166349157,4.43674631702481
TO,-50.7420639777669,-13.4677126641889,-45.6968832022868,-5.16857194577177
MA,-48.7551507366124,-10.2617647031021,-41.7958843809523,-1.04397682226038
PI,-45.9942948375065,-10.9287563495505,-40.3705097622986,-2.73930891991561
CE,-41.4235180088295,-7.85755775830388,-37.2532911248468,-2.78423065030707
RN,-38.5820985224728,-6.98273481293201,-34.9685380203107,-4.83155550793584
PB,-38.7656034316372,-8.3029550511595,-34.7928849744584,-6.02656885876282
PE,-41.3583361843337,-9.48289744404414,-32.3911090093679,-3.82878357931473
AL,-38.2375889351762,-10.5011858051009,-35.1519504514605,-8.81312703208501
SE,-38.2450317495498,-11.5682235623433,-36.3938678211131,-9.51502990879311
BA,-46.6170967574251,-18.3485602613306,-37.3411466536959,-8.53282057107809
MG,-51.0459443779647,-22.9227552583774,-39.8568288906276,-14.2331806646433
ES,-41.8796410723695,-21.3017819688833,-28.835943541245,-17.8919446401203
RJ,-44.8893205505007,-23.3689319635892,-40.9585185182187,-20.7632054626486
SP,-53.1101115316335,-25.3123209500439,-44.1613651644231,-19.7798888098656
PR,-54.6193046378125,-26.7171220086855,-48.0235374346287,-22.5163770699407
SC,-53.8368638573633,-29.3548140092243,-48.327119984172,-25.9558418227432
RS,-57.6437862155364,-33.7520812714679,-49.6914598601596,-27.0823150313345
MS,-58.1685116881068,-24.0685836291468,-50.9229090804468,-17.1666306285883
MT,-61.6333603451517,-18.0415807513547,-50.2248063821325,-7.34902838258037
GO,-53.2512093338537,-19.4991508119681,-45.9069681830834,-12.3957550632074
DF,-48.2857910682451,-16.0502642631457,-47.3083869870584,-15.5002551538495
